"Total Costs (1-year)","Total Costs (5-year)","Total Costs (10-year)","Total Costs (Lifetime)","Health Sector Costs (1-year)","Health Sector Costs (5-year)","Health Sector Costs (10-year)","Health Sector Costs (Lifetime)","Criminal Costs (1-year)","Criminal Costs (5-year)","Criminal Costs (10-year)","Criminal Costs (Lifetime)","Treatment Costs (1-year)","Treatment Costs (5-year)","Treatment Costs (10-year)","Treatment Costs (Lifetime)","Total QALYs (1-year)","Total QALYs (5-year)","Total QALYs (10-year)","Total QALYs (Lifetime)"
15766.0702636672,72384.8298567893,132311.697550409,319349.653192812,1176.72092788444,4618.42418821621,8342.59159812919,24347.5803793717,14589.3493357828,67766.4056685731,123969.10595228,295002.07281344,8.72467111003765,38.5381846950396,69.3859657575914,172.004383688315,0.622570700409352,2.79944944897567,5.03191081535127,11.8181065810997
25081.07765816,107889.297782871,194006.692820073,462258.99921092,5192.72281522071,20376.1380341356,35241.2912968441,82418.171927161,19888.3548429393,87513.1597487358,158765.401523228,379840.827283759,9.05647715699632,40.4780396468915,73.0468962261548,179.114498727296,0.629429444228621,2.90394604281722,5.28485439864413,12.9035841056211
13196.43777617,63525.8340707057,118169.368614592,291535.399321418,336.375768123516,1471.95902577093,2831.30694778763,9330.8056069193,12860.0620080465,62053.8750449348,115338.061666804,282204.593714498,9.06739864288857,40.1365318299117,72.0823799764876,174.348128592317,0.613281522564484,2.81239846885853,5.11997708871346,12.4366050721316
21680.2129128448,109975.406067737,206075.615821599,491389.910345507,2497.25962769287,10604.5720900247,18973.300793476,47054.0495211835,19182.953285152,99370.8339777121,187102.315028123,444335.860824323,8.73717177410866,38.2393498368782,68.2695376833407,166.617126071291,0.64990269585694,2.91965153169195,5.24516919211575,12.5114503412882
18087.43527231,81185.4785917634,147448.334493982,353152.356237176,1074.00851754622,5435.39508577312,10567.2982921641,31294.774172026,17013.4267547638,75750.0835059902,136881.036201818,321857.58206515,8.85068458263886,38.1843363967192,67.8155380966872,162.162208408491,0.592087907352011,2.69327158607446,4.8722389912623,11.7043215929986
26155.1712519724,121155.899553662,221922.274915206,525885.479551994,660.930209334132,3103.17601323554,5921.54012721182,18041.9432404863,25494.2410426383,118052.723540427,216000.734787994,507843.536311508,9.02266578321702,40.0990762367629,72.3121211002526,180.141238687089,0.626863717579005,2.8621168389743,5.19390921790121,12.6084054432589
14897.0682370148,72052.0661791667,134307.138542656,332575.77110632,1219.80670474738,6635.62693595269,13069.6083651575,37317.8209774211,13677.2615322674,65416.439243214,121237.530177499,295257.950128899,8.99271961406342,39.7284285056698,71.3965198459866,174.140272537408,0.552496472128197,2.54832257671091,4.63643411706477,11.2196137156534
14713.9780856795,68755.6360376828,126716.348719032,311497.648180128,938.900197752603,3679.81621817885,6796.90045313457,21585.5499482992,13775.0778879269,65075.819819504,119919.448265897,289912.098231828,9.16042024029965,41.6061292206395,75.7271647650623,189.557259165186,0.603560361805815,2.77102881861481,5.03524658921157,12.2852293092227
20805.8611755773,100470.53812715,186837.863583901,444330.283329905,1182.27926590239,5235.05118110612,9602.97501733711,25307.8974101697,19623.5819096749,95235.4869460434,177234.888566564,419022.385919735,8.97621644696191,39.5305563502767,70.8444313078768,171.105281374515,0.63968949409853,2.92510662029321,5.31089460911071,12.8765174839375
18230.3653279519,85131.888921506,155894.924172551,377500.997876537,692.258196444011,2877.80776681535,5455.55974391193,17772.9089622367,17538.1071315079,82254.0811546907,150439.364428639,359728.0889143,9.00660942471497,40.2616684071109,72.7887530181208,180.25934428571,0.632009052444271,2.91840891521923,5.31705618152821,13.0211017481488
20935.9422717404,100121.887371073,184409.129755426,439296.682260796,1725.22826044653,7213.10267946686,13007.3648185931,33967.9391082458,19210.7140112939,92908.7846916059,171401.764936833,405328.74315255,8.78357688974649,39.2180928740189,70.7830290080193,176.279851661034,0.622058510487408,2.83425665461339,5.13174594922591,12.3960033024756
26698.1650640643,121768.430558238,221145.416190198,517814.842615453,2791.67059050021,12810.0639262037,23456.9338775668,57219.7500754531,23906.4944735641,108958.366632034,197688.482312631,460595.09254,8.7876905306575,38.6258248536491,69.1668097394797,167.449493415341,0.596037239194594,2.7778552685774,5.07395957467297,12.4424399539092
17788.1975488101,85278.5067064004,158923.170266558,384147.952652352,729.187173303637,3261.04753396545,6281.72236793677,20057.7969384894,17059.0103755064,82017.4591724349,152641.447898621,364090.155713862,8.70446057546079,38.5123305888934,69.2057695550421,170.222096278948,0.606697336955078,2.80761685264024,5.10696750307442,12.2454184757957
22824.3210863863,111513.639182233,207983.661392326,491187.847998135,2553.76053573037,12848.0917968906,24073.0247106991,59524.8138707652,20270.5605506559,98665.5473853422,183910.636681627,431663.03412737,8.74846000927402,38.2566156032067,68.37822482691,166.355251712609,0.626631400161532,2.83258758327611,5.10997647047755,12.3112181349017
23360.5640276502,109529.00313417,200812.073106986,475694.055085504,2563.63445091276,12554.9041488107,23345.5547314016,56346.4109420061,20796.9295767375,96974.0989853598,177466.518375584,419347.644143498,9.11911835870858,39.8997664498041,71.4766854354042,171.440866460146,0.612207396178211,2.82876769355557,5.1606016457354,12.6668220116866
27749.3469790074,133109.063473322,245337.281187574,576624.106326805,970.957757754322,4351.6075043478,8346.0926858684,25596.2008647659,26778.3892212531,128757.455968975,236991.188501706,551027.905462039,8.71797627477708,39.7031742186681,72.1579982287335,181.394707252139,0.604907275217416,2.7788502686138,5.04422163607612,12.1732226758652
20718.8617819298,104335.864059491,196068.822081523,474528.442374764,568.157005871017,2863.44303360675,5560.16435545387,16467.1154912417,20150.7047760588,101472.421025884,190508.657726069,458061.326883522,9.17707728040351,40.6791973529828,73.1003484999985,178.262638197965,0.625367546453974,2.88762572766805,5.27263226502792,13.0039690958928
20288.9083790577,92955.4309628637,170233.425118339,407966.802690461,1388.58287089278,6982.21942843535,13471.3353758617,39316.353730717,18900.3255081649,85973.2115344283,156762.089742477,368650.448959744,8.91030008931845,39.7661689776068,71.8925478891519,180.520023630889,0.63158758099392,2.85865641976625,5.16353320842349,12.3709403090273
29212.1568150408,137367.915576656,250745.17484657,585069.14429398,2320.73193449623,9582.60258127303,17656.5513094309,52183.624729784,26891.4248805446,127785.312995383,233088.623537139,532885.519564196,8.72452453309914,39.1592313165653,70.8340610844419,176.857556254611,0.599256036900451,2.77116223965552,5.03949614169919,12.1660259548742
24819.1488474632,89399.5668577711,154205.361627954,355552.328771306,1706.9084810639,7158.22612860981,13001.2765988426,34792.6862992857,23112.2403663993,82241.3407291613,141204.085029112,320759.64247202,8.83027129142817,40.0252909558018,72.7569929921234,183.977680055508,0.630602952627674,2.87551161701221,5.21042605330395,12.5681976599713
