"n_inc_costs_TOTAL_1yr","n_inc_costs_TOTAL_5yr","n_inc_costs_TOTAL_10yr","n_inc_costs_HEALTH_SECTOR_1yr","n_inc_costs_HEALTH_SECTOR_5yr","n_inc_costs_HEALTH_SECTOR_10yr","n_inc_qalys_TOTAL_1yr","n_inc_qalys_TOTAL_5yr","n_inc_qalys_TOTAL_10yr"
-21114.6660749597,NA,NA,-3229.96305760471,NA,NA,-0.281321268424444,NA,NA
-24818.2260010419,NA,NA,-3450.91847603643,NA,NA,-0.29734251315779,NA,NA
-18145.660831094,NA,NA,-3600.96723545641,NA,NA,-0.276635086014564,NA,NA
-12083.7137476195,NA,NA,-2615.04271387427,NA,NA,-0.253457953758664,NA,NA
-11450.6733491393,NA,NA,-2350.18843497715,NA,NA,-0.227994820918275,NA,NA
-24271.1043948827,NA,NA,-3262.63711592183,NA,NA,-0.262143549642373,NA,NA
-14941.0302762484,NA,NA,-3104.03660152695,NA,NA,-0.222976676355268,NA,NA
-45412.2555444626,NA,NA,-2701.29589138227,NA,NA,-0.265701255816518,NA,NA
-33765.83673935,NA,NA,-3048.83228794584,NA,NA,-0.268074191116289,NA,NA
-22307.4568478946,NA,NA,-3369.58398447761,NA,NA,-0.276719739431996,NA,NA
-25546.3658961648,NA,NA,-3737.67193394263,NA,NA,-0.277538657282891,NA,NA
-24736.3074853653,NA,NA,-3161.10937863934,NA,NA,-0.256162230360659,NA,NA
-19404.5097174921,NA,NA,-3831.97678361713,NA,NA,-0.308530703163525,NA,NA
-24254.9664376924,NA,NA,-3450.67282660683,NA,NA,-0.294303306183569,NA,NA
-13809.3703212671,NA,NA,-3028.71407036903,NA,NA,-0.180888747248245,NA,NA
-20191.4242518664,NA,NA,-3321.28333677469,NA,NA,-0.275555321061408,NA,NA
-24326.518762793,NA,NA,-2782.16376953818,NA,NA,-0.260242735733065,NA,NA
-14001.1155110499,NA,NA,-3349.61561880762,NA,NA,-0.272650889963824,NA,NA
-26961.3272198924,NA,NA,-3179.5369665567,NA,NA,-0.23887203938709,NA,NA
-17487.5088370057,NA,NA,-2977.41085203745,NA,NA,-0.282267811944909,NA,NA
-15459.2556348619,NA,NA,-3622.43853483503,NA,NA,-0.211385978115923,NA,NA
-21156.864000684,NA,NA,-3072.87125080734,NA,NA,-0.273620966326973,NA,NA
-24985.9426222133,NA,NA,-2892.81687311901,NA,NA,-0.249669663319939,NA,NA
-16301.9614133029,NA,NA,-3441.56571992491,NA,NA,-0.223882742428485,NA,NA
-17393.9443908208,NA,NA,-3386.1266279515,NA,NA,-0.279132913423164,NA,NA
-28409.0178004016,NA,NA,-2953.77756768782,NA,NA,-0.262469636381963,NA,NA
-30619.7077224596,NA,NA,-3003.68304935916,NA,NA,-0.284910578916235,NA,NA
-15733.6843778613,NA,NA,-2422.19627271444,NA,NA,-0.283437146292049,NA,NA
-10425.7606379055,NA,NA,-3091.21117249432,NA,NA,-0.234818693058119,NA,NA
-26290.8744482557,NA,NA,-3183.51855650335,NA,NA,-0.265802693211495,NA,NA
-25485.3941270879,NA,NA,-3054.21493280146,NA,NA,-0.2739091986087,NA,NA
-17922.6458415538,NA,NA,-3246.0787409723,NA,NA,-0.257672435155545,NA,NA
-31274.8581895703,NA,NA,-2685.51681116402,NA,NA,-0.294125136808444,NA,NA
-16282.2402739039,NA,NA,-3273.68283433425,NA,NA,-0.311790932165679,NA,NA
-28422.4549568416,NA,NA,-3359.540153081,NA,NA,-0.306501758341944,NA,NA
-19545.8951742287,NA,NA,-3293.84215529927,NA,NA,-0.211888184665999,NA,NA
-9168.27364170834,NA,NA,-2720.72100893556,NA,NA,-0.22424105703076,NA,NA
-16973.8001784512,NA,NA,-2735.33561039596,NA,NA,-0.276916233810642,NA,NA
-18148.6738580007,NA,NA,-2403.2588685157,NA,NA,-0.278610925851276,NA,NA
-19969.4072965313,NA,NA,-3374.41269227585,NA,NA,-0.207266918990571,NA,NA
-18532.829488284,NA,NA,-2747.56524477994,NA,NA,-0.263887808727642,NA,NA
-19129.9718692275,NA,NA,-3498.15311427634,NA,NA,-0.278360642663632,NA,NA
-19687.0426369516,NA,NA,-4001.65412381839,NA,NA,-0.326134410444541,NA,NA
-15843.9185260623,NA,NA,-2838.49276013209,NA,NA,-0.237761754721336,NA,NA
-25746.9312400204,NA,NA,-3065.43403974871,NA,NA,-0.286396562088183,NA,NA
-18776.5117526123,NA,NA,-3411.53734441214,NA,NA,-0.305921172918753,NA,NA
-21176.6085485358,NA,NA,-2667.95277983098,NA,NA,-0.294378672451015,NA,NA
-23893.0934479052,NA,NA,-2910.52723204832,NA,NA,-0.310884403904318,NA,NA
-19020.3913420869,NA,NA,-3205.34752316535,NA,NA,-0.29114256405217,NA,NA
-16172.9684897473,NA,NA,-2760.65215069936,NA,NA,-0.243892398723007,NA,NA
-18737.3520957723,NA,NA,-3499.8341022525,NA,NA,-0.250651422386262,NA,NA
-21755.7644345478,NA,NA,-3462.53501127988,NA,NA,-0.256752157308615,NA,NA
-15696.287286485,NA,NA,-3716.88233793324,NA,NA,-0.246188390149695,NA,NA
-23851.0873038714,NA,NA,-2922.01970714732,NA,NA,-0.316321779067931,NA,NA
-18871.0510061602,NA,NA,-3054.209062869,NA,NA,-0.255969122075887,NA,NA
-16954.768213344,NA,NA,-3803.17963143655,NA,NA,-0.29882237039895,NA,NA
-17399.6218966314,NA,NA,-3134.0030132442,NA,NA,-0.262828773582082,NA,NA
-22114.6240362671,NA,NA,-3985.06703822667,NA,NA,-0.243974162091613,NA,NA
-21241.6749079526,NA,NA,-3529.85451864713,NA,NA,-0.272743728709236,NA,NA
-16491.6728804414,NA,NA,-3338.23743124792,NA,NA,-0.27320428043719,NA,NA
-36089.4152387166,NA,NA,-3303.84859601581,NA,NA,-0.288526111593773,NA,NA
-20328.8232607095,NA,NA,-3233.88877815459,NA,NA,-0.229655045134487,NA,NA
-23426.3968487245,NA,NA,-3554.35647490509,NA,NA,-0.274123361167856,NA,NA
-19892.9904442569,NA,NA,-2696.08053319396,NA,NA,-0.247415301877488,NA,NA
-21417.0187032928,NA,NA,-2916.76792113558,NA,NA,-0.321242204115615,NA,NA
-10355.4725206189,NA,NA,-2456.21221677881,NA,NA,-0.224954226629398,NA,NA
-13477.808808769,NA,NA,-3832.62594520875,NA,NA,-0.234343141999317,NA,NA
